slug,fqhc_name,zip,website_source,original_url,is_alive,final_url,http_status,reason,checked_at
wellington-fl,Health Care District Community Health Center - Atlantis,33461,places,https://www.hcdpbc.org/for-patients/primary-care-clinics/locations/atlantis,true,https://www.hcdpbc.org/for-patients/primary-care-clinics/locations/atlantis,200,ok,2026-05-28T18:06:09+00:00
wellington-fl,"Florida Community Health Centers, Inc.",33407,original,https://www.fchcinc.org,true,https://www.fchcinc.org/,200,ok,2026-05-28T18:06:09+00:00
walnut-creek-ca,LA CLINICA MONUMENT,94518,original,https://www.laclinica.org,true,https://laclinica.org/,200,ok,2026-05-28T18:06:09+00:00
walnut-creek-ca,Willow Pass Wellness Center,94520,places,http://cchealth.org/,false,http://www.cchealth.org/,403,http_403,2026-05-28T18:06:10+00:00
wellington-fl,FoundCare -Yolette Bonnet Center,33417,places,http://www.foundcare.org/,true,https://foundcare.org/,200,ok,2026-05-28T18:06:11+00:00
walnut-creek-ca,LifeLong Medical Care - Eastmont,94605,places,https://lifelongmedical.org/locations/eastmont-health-center/,false,https://lifelongmedical.org/locations/eastmont-health-center/,403,http_403,2026-05-28T18:06:11+00:00
walnut-creek-ca,CASTLEMONT HIGH SCHOOL-YOUTH UPRISING,94605,places,http://www.youthuprising.org/,true,https://www.youthuprising.org/,200,ok,2026-05-28T18:06:12+00:00
walnut-creek-ca,EASTMONT WELLNESS,94605,original,https://www.eastmontahs.org,true,http://www.alamedahealthsystem.org,200,ok,2026-05-28T18:06:12+00:00
vancouver-wa,Sea Mar CHC - Vancouver 317 E 39th St,98663,places,http://www.seamar.org/csnw,true,https://www.seamar.org/csnw,200,ok,2026-05-28T18:06:13+00:00
vancouver-wa,North Portland Health Center,97203,original,https:////multco.us,false,,,other:InvalidURL:Invalid URL 'https:////multco.us': No host supplied,2026-05-28T18:06:13+00:00
vancouver-wa,Prism Health,97227,original,https://www.prismhealth.org,true,https://www.prismhealth.org/,200,ok,2026-05-28T18:06:13+00:00
vancouver-wa,Cascadia Garlington Health Center,97212,original,https://www.cascadiabhc.org/,false,,,"ssl_error:HTTPSConnectionPool(host='www.cascadiabhc.org', port=443): Max retries exceeded ",2026-05-28T18:06:13+00:00
vancouver-wa,NARA Indian Health Clinic,97212,places,http://www.naranorthwest.org/,true,https://www.naranorthwest.org/,200,ok,2026-05-28T18:06:14+00:00
vancouver-wa,Hooper Detoxification and Stabilization Center,97227,original,https://www.centralcityconcern.org,true,https://centralcityconcern.org/,200,ok,2026-05-28T18:06:14+00:00
van-nuys-ca,Santo Nino Maternal Fetal Clinic,91405,original,https://santoninohc.org/,true,https://santoninohc.org/,200,ok,2026-05-28T18:06:14+00:00
van-nuys-ca,Eisner Health Mid-Valley,91405,places,https://eisnerhealth.org/location/mid-valley/,true,https://eisnerhealth.org/location/mid-valley/,200,ok,2026-05-28T18:06:15+00:00
van-nuys-ca,Van Nuys Women's & Reproductive Health Center Suite 306,91405,original,https://nevhc.org/,true,https://nevhc.org/,200,ok,2026-05-28T18:06:15+00:00
van-nuys-ca,Clinica Romero - Van Nuys,91405,places,https://clinicaromero.com/,true,https://clinicaromero.com/,200,ok,2026-05-28T18:06:15+00:00
van-nuys-ca,SCMC Van Nuys,91411,original,http://www.scmedcenter.org/,true,https://www.scmedcenter.org/,200,ok,2026-05-28T18:06:16+00:00
van-nuys-ca,Center for Family Health & Education,91405,places,https://www.cffhae.org/find-a-location/panorama-city/,true,https://www.cffhae.org/find-a-location/panorama-city/,200,ok,2026-05-28T18:06:17+00:00
upland-ca,Euclid Community Health Center,91786,places,https://www.hsa.care/,true,https://hsa.care/,200,ok,2026-05-28T18:06:18+00:00
upland-ca,"Central City Community Health Center, Inc - Benson",91786,places,https://centralcityhealth.org/,true,https://centralcityhealth.org/,200,ok,2026-05-28T18:06:19+00:00
upland-ca,"Friends of Family Health Center - 1129 W. 4th Street, Ontario",91762,original,https://www.fofhealthcenter.org,true,https://fofhealthcenter.org/,200,ok,2026-05-28T18:06:20+00:00
westminster-md,PARK WEST MEDICAL CENTER - PLAZA SITE,21215,places,http://www.parkwestmed.org/,false,,,"conn_error:HTTPSConnectionPool(host='www.parkwestmed.org', port=443): Max retries exceeded ",2026-05-28T18:06:22+00:00
upland-ca,"Unicare Community Health Center, Inc.",91762,original,https://www.unicarechc.org,true,https://unicarechc.org/,200,ok,2026-05-28T18:06:22+00:00
tyler-tx,Family Circle of Care Family Dentistry,75701,original,https://tylercircleofcare.org,true,https://tylercircleofcare.org/,200,ok,2026-05-28T18:06:22+00:00
tyler-tx,Tyler Care Clinic Midtown,75701,original,https://www.specialhealth.org,true,https://www.specialhealth.org/,200,ok,2026-05-28T18:06:23+00:00
turlock-ca,GVHC - Turlock Pediatric Health Center 1100,95382,places,https://www.gvhc.org/locations/turlock/turlock-pediatrics/,true,https://www.gvhc.org/locations/turlock/turlock-pediatrics/,200,ok,2026-05-28T18:06:24+00:00
wellington-fl,Genesis Community Health at Boynton Beach Community High SBHC,33426,original,https://www.gencomhealth.org,false,,,"conn_error:HTTPSConnectionPool(host='www.gencomhealth.org', port=443): Max retries exceeded",2026-05-28T18:06:25+00:00
turlock-ca,Turlock Health Center,95382,original,https://www.visitlch.org,true,https://lumirahealthcare.com/,200,ok,2026-05-28T18:06:25+00:00
turlock-ca,Administrative Site,95355,places,https://www.schsa.org/,true,https://www.schsa.org/,200,ok,2026-05-28T18:06:25+00:00
turlock-ca,Community Health Centers of America Livingston,95334,places,https://www.chcahealth.org/locations/livingston/,true,https://www.chcahealth.org/locations/livingston/,200,ok,2026-05-28T18:06:26+00:00
turlock-ca,Castle Family Health Center at Winton,95388,places,https://www.cfhc.care/,true,https://www.cfhc.care/,200,ok,2026-05-28T18:06:26+00:00
tyler-tx,Wellness Pointe - Women's Health Center at Tyler,75701,original,https://www.wellnesspointe.org,true,https://wellnesspointe.org/,200,ok,2026-05-28T18:06:26+00:00
torrington-ct,Torrington Soup Kitchen c/o Trinity Church,06790,places,https://communitykitchen.net/,true,https://www.communitykitchen.net/,200,ok,2026-05-28T18:06:26+00:00
torrington-ct,StayWell Health Center at Western CT Mental Health Network,06702,original,https://N/A,false,,,dns_failure,2026-05-28T18:06:26+00:00
torrington-ct,Charter Oak Health Center Bloomfield,06002,original,https://www.thecharteroak.org,true,https://thecharteroak.org/,200,ok,2026-05-28T18:06:27+00:00
torrington-ct,Mary P. Hinsdale - SBHC,06098,places,https://www.winchesterschools.org/batcheller-elementary-school,true,https://www.winchesterschools.org/batcheller-elementary-school,200,ok,2026-05-28T18:06:27+00:00
torrington-ct,InterCommunity Inc.,06112,places,https://www.intercommunityct.org/?utm_source=GMBSocialClimb&utm_medium=InterCommunityHealthCare,true,https://www.intercommunityct.org/?utm_source=GMBSocialClimb&utm_medium=InterCommunityHealthCare,200,ok,2026-05-28T18:06:27+00:00
torrington-ct,Bristol Family Health and Wellness Center,06010,original,https://www.wheelerclinic.org,true,https://www.wheelerhealth.org/,200,ok,2026-05-28T18:06:28+00:00
walnut-creek-ca,EAST OAKLAND HEALTH CENTER,94621,original,https://wohc@wohc.org,false,,,"conn_error:HTTPSConnectionPool(host='wohc.org', port=443): Max retries exceeded with url: /",2026-05-28T18:06:28+00:00
torrance-ca,Yehowa Medical Services - Administrative Site,90503,places,http://www.ymedical.org/,true,https://ymedical.org/,200,ok,2026-05-28T18:06:28+00:00
torrance-ca,VCC: Torrance Pediatrics & Family Medicine,90501,original,https://www.vcc.org,true,https://www.vistacommunityclinic.org/,200,ok,2026-05-28T18:06:28+00:00
torrance-ca,Wilmington Community Clinic @ Wilmington Middle School,90744,places,https://www.wilmingtoncc.org/,true,https://wilmingtoncc.org/,200,ok,2026-05-28T18:06:29+00:00
torrance-ca,BHS - Carson Health Center,90746,places,https://www.bhs-inc.org/locations,true,https://www.bhs-inc.org/locations,200,ok,2026-05-28T18:06:29+00:00
titusville-fl,BHA Titusville Dental Clinic,32796,original,https://www.brevardhealth.org,true,https://www.brevardhealth.org/,200,ok,2026-05-28T18:06:29+00:00
torrance-ca,NECC - Harbor City Health Center,90710,original,https://www.necc.net,true,https://necccare.com,200,ok,2026-05-28T18:06:29+00:00
titusville-fl,COMMUNITY HEALTH CENTER - BITHLO FAMILY CARE,32820,original,https://www.chcfl.org,true,https://www.chcfl.org/,200,ok,2026-05-28T18:06:29+00:00
titusville-fl,Alafaya Health Center,32826,original,https://www.mytruehealth.org,true,https://www.mytruehealth.org/,200,ok,2026-05-28T18:06:29+00:00
the-villages-fl,COMMUNITY HEALTH CENTER - LEESBURG Family Medical and Dental,34748,original,https://WWW.CHCFL.ORG,true,https://www.chcfl.org/,200,ok,2026-05-28T18:06:29+00:00
the-villages-fl,Langley Health Services Ocala,34472,places,https://langleyhealth.com/ocala-location/,true,https://langleyhealth.com/ocala-location/,200,ok,2026-05-28T18:06:30+00:00
titusville-fl,Space Coast Health Centers Titusville Main,32796,places,https://www.spacecoasthealthcenters.org/,false,https://www.spacecoasthealthcenters.org/,404,http_404,2026-05-28T18:06:30+00:00
zephyrhills-fl,Centennial Health Center,33525,original,https://www.ccrhealth.org,true,https://www.ccrhealth.org/,200,ok,2026-05-28T18:06:30+00:00
the-villages-fl,Heart of Florida Health Center The Villages,32162,places,https://www.myhfhc.org/,true,https://www.myhfhc.org/,200,ok,2026-05-28T18:06:30+00:00
zephyrhills-fl,Premier Community HealthCare Group - Medical View Lane,33542,original,https://www.premierhc.org,true,https://premierhc.org/,200,ok,2026-05-28T18:06:30+00:00
zephyrhills-fl,CFHC Lakeland Primary Care,33805,original,http://www.cfhconline.org/,true,https://cfhc.org/,200,ok,2026-05-28T18:06:31+00:00
zephyrhills-fl,"Ibis Healthcare, Inc. North Tampa",33613,places,http://www.gracepointhealthcare.org/?utm_source=GMBSocialClimb&utm_medium=GracepointHealthcare-North,false,,,dns_failure,2026-05-28T18:06:31+00:00
zephyrhills-fl,METRO at Fletcher Avenue,33613,original,https://www.metrotampabay.org,true,https://metrotampabay.org/,200,ok,2026-05-28T18:06:31+00:00
new-york-ny,High School for Fashion Industries School-Based Health Center,10011,places,https://www.hsfi.nyc/,true,https://www.hsfi.nyc/,200,ok,2026-05-28T18:06:32+00:00
new-york-ny,Metro Community Health Center - Manhattan,10011,places,https://mchcny.org/locations-manhattan/,true,https://mchcny.org/locations-manhattan/,200,ok,2026-05-28T18:06:32+00:00
zephyrhills-fl,Plant City Family Care,33563,places,http://www.suncoast-chc.org/,true,https://suncoast-chc.org/,200,ok,2026-05-28T18:06:32+00:00
new-york-ny,Callen-Lorde 19th Street Administrative Offices,10011,hrsa,www.lmcmc.com,false,,,other:MissingSchema:Invalid URL 'www.lmcmc.com': No scheme supplied. Perhaps you,2026-05-28T18:06:32+00:00
new-york-ny,Central Administrative Office,10001,places,http://www.chnnyc.org/,false,https://www.chnnyc.org/,403,http_403,2026-05-28T18:06:32+00:00
new-york-ny,Sun River Health West 37th Street Health Center,10018,places,https://www.sunriver.org/your-health/sun-river-health-sidney-baer/,true,https://www.sunriver.org/your-health/sun-river-health-sidney-baer/,200,ok,2026-05-28T18:06:32+00:00
los-angeles-ca,AltaMed Medical Group: Florence-Firestone,90001,original,https://www.altamed.org,true,https://www.altamed.org/,200,ok,2026-05-28T18:06:32+00:00
new-york-ny,Housing Works Health Services III at W 37 Street,10018,original,https://www.housingworks.org,true,https://www.housingworks.org/,200,ok,2026-05-28T18:06:33+00:00
torrance-ca,Venice Family Clinic - Carole Keen Carson Wellness Center,90745,places,https://venicefamilyclinic.org/,true,https://venicefamilyclinic.org/,200,ok,2026-05-28T18:06:33+00:00
los-angeles-ca,SJCH - Avalon Health and Access Center,90003,places,https://sjch.org/,true,https://www.sjch.org/,200,ok,2026-05-28T18:06:33+00:00
los-angeles-ca,UMMA Health Fremont Wellness Center,90003,original,https://www.ummahealthca.org,true,https://www.ummahealthca.org/,200,ok,2026-05-28T18:06:33+00:00
los-angeles-ca,Aghaby: Walnut Park,90255,original,https://www.acchealthcenters.org,true,https://www.acchealthcenters.org/,200,ok,2026-05-28T18:06:33+00:00
los-angeles-ca,SCFHC- Santa Fe,90255,original,https://www.scfhc.org,true,https://scfhc.org/,200,ok,2026-05-28T18:06:33+00:00
los-angeles-ca,"Central City Community Health Center, Inc. - SLA",90001,original,https://www.centralcityhealth.org,true,https://centralcityhealth.org/,200,ok,2026-05-28T18:06:34+00:00
chicago-il,LCHC at Fourth Presbyterian - Chicago Lights,60611,places,http://www.fourthchurch.org/,true,https://www.fourthchurch.org/,200,ok,2026-05-28T18:06:34+00:00
chicago-il,Haymarket Center,60607,original,https://www.hcenter.org/,true,https://haymarketcenter.org/,200,ok,2026-05-28T18:06:34+00:00
chicago-il,"UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER, NATIONAL TEACHERS ACADEMY HEALTH AND WELLNESS CENTER",60616,original,https://N/A,false,,,dns_failure,2026-05-28T18:06:34+00:00
chicago-il,COMMUNITY HEALTH PARTNERSHIP OF ILLINOIS,60606,original,https://www.chpofil.org,true,https://chpofil.org/,200,ok,2026-05-28T18:06:35+00:00
dallas-tx,Prism Health North Texas at Oak Lawn Health Center,75204,original,https://www.phntx.org,true,https://www.phntx.org/,200,ok,2026-05-28T18:06:35+00:00
dallas-tx,"Los Barrios Unidos Community Clinic, Inc.",75212,original,https://www.losbarriosunidos.org,false,,,dns_failure,2026-05-28T18:06:35+00:00
dallas-tx,HHM Health at Holmes St.,75215,places,https://www.hhmhealth.org/?utm_source=GMBSocialClimb&utm_medium=HHMHealthatSouthDallas,true,https://www.hhmhealth.org/?utm_source=GMBSocialClimb&utm_medium=HHMHealthatSouthDallas,200,ok,2026-05-28T18:06:35+00:00
dallas-tx,The Bridge,75201,original,http://www.parklandhospital.com/phhs/homeless-outreach.aspx,true,https://www.parklandhealth.org/homeless-outreach,200,ok,2026-05-28T18:06:35+00:00
chicago-il,Winfield Moody Health Center,60610,original,https://www.nearnorthhealth.org,true,https://nearnorthhealth.org/,200,ok,2026-05-28T18:06:36+00:00
phoenix-az,Valleywise Community Health Center - McDowell,85004,original,https://valleywisehealth.org/services/primary-care/,true,https://valleywisehealth.org/services/primary-care/,200,ok,2026-05-28T18:06:36+00:00
phoenix-az,"Circle the City Family Health Center, Downtown Campus",85007,original,https://www.circlethecity.org,false,https://circlethecity.org/,200,no_html_tag,2026-05-28T18:06:36+00:00
dallas-tx,Women's Health Center of Plano,75075,places,https://www.fhcntx.org/,true,https://fhcntx.org/,200,ok,2026-05-28T18:06:36+00:00
phoenix-az,Valle del Sol_Red Mountain Service Center_1209,85003,original,https://www.valledelsol.com,true,https://www.valledelsol.com/,200,ok,2026-05-28T18:06:37+00:00
phoenix-az,Mountain Park Health Center - Central Office,85012,hrsa,www.nativehealthphoenix.org,false,,,other:MissingSchema:Invalid URL 'www.nativehealthphoenix.org': No scheme supplie,2026-05-28T18:06:37+00:00
phoenix-az,"Terros, Inc",85012,original,https://terroshealth.org,true,https://terroshealth.org/,200,ok,2026-05-28T18:06:37+00:00
phoenix-az,Wesley Health Center,85034,hrsa,https://wesleycenterphx.org/,true,https://wesleychc.org,200,ok,2026-05-28T18:06:38+00:00
atlanta-ga,Mercy Care at Gateway Center,30303,original,https://www.mercyatlanta.org,true,https://mercyatlanta.org/,200,ok,2026-05-28T18:06:38+00:00
atlanta-ga,MedCura Midtown,30308,original,https://www.medcura.org,true,https://medcura.org/,200,ok,2026-05-28T18:06:39+00:00
atlanta-ga,SOUTHSIDE MEDICAL CENTER - Main Center / Corporate HQ,30315,original,https://www.smcmed.com,false,,,"conn_error:HTTPSConnectionPool(host='www.smcmed.com', port=443): Max retries exceeded with ",2026-05-28T18:06:39+00:00
atlanta-ga,Healing Community Center,30310,places,https://healatlanta.org/,true,https://healatlanta.org/,200,ok,2026-05-28T18:06:39+00:00
atlanta-ga,Ethne Health - Dental,30021,original,https://www.ethnehealth.org,true,https://www.ethnehealth.org/,200,ok,2026-05-28T18:06:39+00:00
detroit-mi,WOODWARD CORRIDOR FAMILY MEDICAL CENTER,48201,original,https://www.dchcquality.org,true,https://www.dchcquality.org/,200,ok,2026-05-28T18:06:39+00:00
detroit-mi,Detroit Central City Health Center,48201,original,https://www.centralcityhealth.com,true,https://www.centralcityhealth.com/,200,ok,2026-05-28T18:06:39+00:00
detroit-mi,Family Medical Center - Cass Tech,48201,places,https://www.detroitk12.org/casstech,true,https://casstech.detroitk12.org,200,ok,2026-05-28T18:06:40+00:00
detroit-mi,University Health Center - St. Antoine,48201,places,http://www.dmc.org/,true,https://www.dmc.org/,200,ok,2026-05-28T18:06:41+00:00
detroit-mi,"The Wellness Plan, Gateway Medical Center",48202,original,https://www.wellplan.com,true,https://www.wellplan.com/,200,ok,2026-05-28T18:06:41+00:00
charlotte-nc,CRCHC at Shelter Health Services,28206,original,https://www.crchc.org,true,https://www.crchc.org/,200,ok,2026-05-28T18:06:42+00:00
detroit-mi,Advantage Health Centers - Alexandrine,48201,original,https://www.advantagehealth.org,true,https://curahealth.com,200,ok,2026-05-28T18:06:42+00:00
charlotte-nc,"C.W. Williams Community Health Center, Inc.",28217,original,https://www.cwwilliams.org,true,https://cwwilliams.org/,200,ok,2026-05-28T18:06:42+00:00
charlotte-nc,Charlotte Community Health Clinic - Express Care,28205,original,https://charlottecommunityhealth.org/en/,true,https://charlottecommunityhealth.org/en/,200,ok,2026-05-28T18:06:43+00:00
charlotte-nc,Kintegra at Pinewood Elementary - Clt,28210,original,https://www.kintegra.org,true,https://www.kintegra.org/,200,ok,2026-05-28T18:06:44+00:00
charlotte-nc,Affinity Health Center Main,29730,places,https://affinityhealthcenter.org/,true,https://affinityhealthcenter.org/,200,ok,2026-05-28T18:06:45+00:00
tampa-fl,METRO Seminole Heights,33603,places,https://www.metrotampabay.org/about/locations/seminole-heights/,true,https://metrotampabay.org/about/locations/seminole-heights/,200,ok,2026-05-28T18:06:46+00:00
tampa-fl,Suncoast Neighborhood Health Clinic,33619,places,http://suncoast-chc.org/,true,https://suncoast-chc.org,200,ok,2026-05-28T18:06:46+00:00
tampa-fl,TFHC MLK,33607,places,https://www.tfhc.org/infusioncenter?utm_source=GMBSocialClimb&utm_medium=TampaFamilyInfusionCenter,true,https://www.tfhc.org/infusioncenter?utm_source=GMBSocialClimb&utm_medium=TampaFamilyInfusionCenter,200,ok,2026-05-28T18:06:47+00:00
tampa-fl,"Ibis Healthcare, Inc.",33610,original,https://www.gracepointwellness.org,true,https://ibishealthcare.org/,200,ok,2026-05-28T18:06:47+00:00
tampa-fl,Bayside Health Clinic,33762,places,http://www.pinellascounty.org/humanservices/hch.htm,true,https://pinellas.gov/programs/health-care-for-the-homeless-program,200,ok,2026-05-28T18:06:48+00:00
tampa-fl,Evara Gold - Suncoast,33760,original,https://www.evarahealth.org,true,https://evarahealth.org/,200,ok,2026-05-28T18:06:49+00:00
denver-co,Forum Apartments,80204,original,https://www.coloradocoalition.org,true,https://www.coloradocoalition.org/,200,ok,2026-05-28T18:06:49+00:00
denver-co,Rose Andom Health Center,80204,places,http://roseandomcenter.org/,true,https://roseandomcenter.org/,200,ok,2026-05-28T18:06:50+00:00
chicago-il,Access Community Health Network,60661,original,https://accesscommunityhealth.net,false,,,"conn_error:HTTPSConnectionPool(host='accesscommunityhealth.net', port=443): Max retries exc",2026-05-28T18:06:50+00:00
denver-co,"Uptown Community Health Center, Inc. Bruner Family Medicine",80218,original,https://www.uptowncommunityhealth.org,true,https://www.uptowncommunityhealth.org/,200,ok,2026-05-28T18:06:50+00:00
denver-co,Inner City Health Center,80205,original,https://www.innercityhealth.org,true,https://www.innercityhealth.org/,200,ok,2026-05-28T18:06:50+00:00
denver-co,Tepeyac Administration,80216,original,https://www.tepeyachealth.org,true,https://www.tepeyachealth.org/,200,ok,2026-05-28T18:06:50+00:00
denver-co,Sheridan Health Services-Urban Peak,80223,original,https://nursing.cuanschutz.edu/patient-care/sheridan-health-services,true,https://nursing.cuanschutz.edu/healthcare/locations/sheridan-family,200,ok,2026-05-28T18:06:50+00:00
orlando-fl,Community Health Centers - West Lakes,32805,original,https://www.chcfl.org,true,https://www.chcfl.org/,200,ok,2026-05-28T18:06:51+00:00
