psc_id,state_code,city_slug,city_addr,state_addr,zip,address,latitude,longitude,phone,url,business_status,fetched_at
ChIJrcPr2OHCyIAR-BW72zxtmb0,NV,north-las-vegas,North Las Vegas,NV,89030,"1815 E Lake Mead Blvd # 103, North Las Vegas, NV 89030, USA",36.1954018,-115.1216359,(702) 908-5371,https://locations.questdiagnostics.com/nv/north-las-vegas/1815-e-lake-mead-blvd,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJNb_7bGLbyIAR9TSJTcBK6eA,NV,las-vegas,Las Vegas,NV,89110,"305 N Nellis Blvd Ste 150, Las Vegas, NV 89110, USA",36.167283499999996,-115.0629585,(702) 859-0328,https://locations.questdiagnostics.com/nv/las-vegas/305-n-nellis-blvd,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJI8BU2uDDyIARLndBVTTdvXQ,NV,las-vegas,Las Vegas,NV,89106,"900 S Rancho Dr, Las Vegas, NV 89106, USA",36.1600466,-115.17312150000001,(702) 271-7546,https://questdiagnostics.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=gmb-website-link,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJAQDAcR7FyIARDBJ1VoBxk5w,NV,las-vegas,Las Vegas,NV,89119,"4230 Burnham Ave Ste 144, Las Vegas, NV 89119, USA",36.1121196,-115.1233797,(702) 236-7041,https://locations.questdiagnostics.com/nv/las-vegas/4230-burnham-ave,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJTTgdDfnAyIARIfn6j2KIkEQ,NV,las-vegas,Las Vegas,NV,89145,"761 S Rainbow Blvd STE 100, Las Vegas, NV 89145, USA",36.1644824,-115.24476999999999,(702) 715-0821,https://locations.questdiagnostics.com/nv/las-vegas/761-s-rainbow-blvd,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJLVv3NV3pyIAR04EK9dhzyNY,NV,north-las-vegas,North Las Vegas,NV,89084,"6945 N Aliante Pkwy Ste 104, North Las Vegas, NV 89084, USA",36.2868627,-115.17948969999999,(702) 250-9860,https://locations.questdiagnostics.com/nv/north-las-vegas/6945-aliante-pkwy,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJXTQYwEPryIARyKT5Jn80WY4,NV,las-vegas,Las Vegas,NV,89149,"7891 W Tropical Pkwy Suite 110, Las Vegas, NV 89149, USA",36.2706649,-115.26683349999999,(702) 232-4751,https://locations.questdiagnostics.com/nv/las-vegas/7891-w-tropical-pkwy,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJMxgozcTRyIARKNGozDw6CK4,NV,henderson,Henderson,NV,89014,"2265 N Green Valley Pkwy Ste 100, Henderson, NV 89014, USA",36.0553196,-115.08483539999999,(702) 306-0436,http://questdiagnostics.com/,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJ4W5emA3QyIARnoGc7glMqZY,NV,henderson,Henderson,NV,89014,"6301 S Mountain Vista St Ste 100, Henderson, NV 89014, USA",36.075042499999995,-115.07393689999999,(702) 218-5768,https://locations.questdiagnostics.com/nv/henderson/6301-mountain-vista-st,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJVcIyH1nTJRURd5P9xjW8yZE,NV,henderson,Henderson,NV,89052,"10001 S Eastern Ave ste 309, Henderson, NV 89052, USA",36.0052187,-115.11419049999998,(702) 859-0254,https://locations.questdiagnostics.com/nv/henderson/10001-s-eastern-ave,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJh73tLSPAyIAR2WKZoZGDSpc,NV,las-vegas,Las Vegas,NV,89128,"7460 W Lake Mead Blvd Ste 3, Las Vegas, NV 89128, USA",36.19729290000001,-115.25646619999999,(702) 239-8963,https://locations.questdiagnostics.com/nv/las-vegas/7460-w-lake-mead-blvd,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJvX1xMEPHyIARnWMzQfEmkSY,NV,las-vegas,Las Vegas,NV,89147,"4266 S Durango Dr suite i, Las Vegas, NV 89147, USA",36.1123356,-115.2782918,(702) 859-0224,https://locations.questdiagnostics.com/nv/las-vegas/4266-s-durango-dr,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJS5mj14PHyIARuu6LxDoMBt4,NV,las-vegas,Las Vegas,NV,89118,"5608 S Rainbow Blvd, Las Vegas, NV 89118, USA",36.086696599999996,-115.2420369,(866) 697-8378,http://questdiagnostics.com/,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJG8tE5cS_yIAR13xKGQRyg1k,NV,las-vegas,Las Vegas,NV,89117,"9420 W Sahara Ave Ste 108, Las Vegas, NV 89117, USA",36.146367000000005,-115.3010035,(702) 236-9563,https://locations.questdiagnostics.com/nv/las-vegas/9420-w-sahara-ave,OPERATIONAL,2026-05-28T19:50:51+00:00
ChIJ3fSij_TNyIAR9d1Ud7m9qKw,NV,henderson,Henderson,NV,89052,"2505 Anthem Village Dr Ste J, Henderson, NV 89052, USA",35.9784676,-115.0993853,(702) 271-7490,https://locations.questdiagnostics.com/nv/henderson/2505-anthem-village-dr,OPERATIONAL,2026-05-28T19:50:51+00:00
